Year	Data	Err-	Err+
-495237.63000	236.40000	1.05000	1.05000
-494494.07000	237.60000	0.80000	0.80000
-493775.69000	238.50000	0.70000	0.70000
-493074.13000	238.30000	1.00000	1.00000
-492350.39000	239.10000	0.60000	0.60000
-491643.11000	239.70000	0.95000	0.95000
-490913.78000	243.70000	0.70000	0.70000
-490204.55000	246.70000	0.80000	0.80000
-489501.08000	243.30000	0.65000	0.65000
-488783.95000	242.60000	0.30000	0.30000
-488544.91000	249.30000	1.35000	1.35000
-488076.29000	252.80000	1.25000	1.25000
-487769.79000	240.90000	0.20000	0.20000
-487352.09000	242.00000	0.10000	0.10000
-486615.45000	237.10000	0.90000	0.90000
-485898.07000	231.30000	0.60000	0.60000
-485179.25000	232.90000	0.60000	0.60000
-484448.67000	233.00000	0.70000	0.70000
-483717.52000	231.20000	0.60000	0.60000
-482986.18000	231.40000	0.65000	0.65000
-482229.79000	231.40000	0.55000	0.55000
-481445.38000	227.30000	0.65000	0.65000
-480630.96000	223.40000	0.85000	0.85000
-479712.96000	223.80000	0.70000	0.70000
-478776.68000	218.80000	1.15000	1.15000
-478378.30000	220.80000	0.35000	0.35000
-477825.69000	231.30000	0.50000	0.50000
-477452.95000	236.50000	0.60000	0.60000
-476942.46000	239.10000	0.45000	0.45000
-475991.00000	236.60000	0.50000	0.50000
-474999.80000	232.80000	0.55000	0.55000
-473975.20000	233.10000	0.30000	0.30000
-473024.11000	241.20000	0.85000	0.85000
-472142.36000	245.60000	0.45000	0.45000
-471850.85000	243.90000	0.55000	0.55000
-471267.82000	243.70000	0.90000	0.90000
-470913.27000	232.70000	0.35000	0.35000
-470313.07000	229.20000	0.70000	0.70000
-469874.53000	218.70000	0.45000	0.45000
-469250.79000	215.50000	1.15000	1.15000
-468775.98000	206.50000	0.45000	0.45000
-468090.13000	205.50000	0.45000	0.45000
-466927.71000	203.40000	0.60000	0.60000
-465756.64000	204.40000	0.95000	0.95000
-464682.30000	208.10000	1.10000	1.10000
-463651.73000	210.00000	0.35000	0.35000
-463315.36000	205.20000	0.45000	0.45000
-462649.47000	199.90000	1.30000	1.30000
-461576.65000	194.40000	0.35000	0.35000
-460464.10000	190.70000	0.95000	0.95000
-459336.06000	195.50000	0.40000	0.40000
-458302.21000	202.40000	0.65000	0.65000
-457261.55000	208.30000	0.70000	0.70000
-456844.01000	203.30000	0.50000	0.50000
-456258.29000	204.30000	0.50000	0.50000
-455795.13000	199.10000	0.30000	0.30000
-455164.44000	192.50000	0.50000	0.50000
-454051.61000	193.30000	0.80000	0.80000
-452914.31000	198.40000	0.65000	0.65000
-451825.64000	201.90000	0.90000	0.90000
-450785.84000	204.90000	0.70000	0.70000
-449797.28000	201.20000	1.05000	1.05000
-448692.89000	201.70000	0.85000	0.85000
-447621.04000	208.10000	0.90000	0.90000
-446509.18000	203.50000	0.30000	0.30000
-445269.18000	201.10000	0.45000	0.45000
-443381.73000	199.10000	0.55000	0.55000
-441894.65000	202.00000	0.75000	0.75000
-440280.78000	201.30000	0.55000	0.55000
-438709.58000	201.70000	0.80000	0.80000
-437113.42000	200.30000	0.80000	0.80000
-435535.42000	207.50000	0.65000	0.65000
-433989.69000	209.80000	0.80000	0.80000
-432429.07000	207.60000	0.65000	0.65000
